id,nnzA,myErr,umfErr,logratio,myElaps,umfElaps,ratio,mynnz,umfnnz,ratio,myflop,umfflop,ratio
2676,18215,1.05902e-05,9.35709e-15,20.8471,0.0707263,0.036594,1.93273,583132,82616,7.05834,1.83182e+08,2.65268e+06,69.0555,Fail
1446,15979,5.99245e-05,2.02258e-16,26.4146,0.00878326,0.003975,2.20963,30790,16029,1.92089,1.04296e+06,300630,3.46923,Fail
2740,18054,1.5088e-05,4.56753e-15,21.9182,0.0185975,0.032021,0.580791,153355,119797,1.28012,1.27593e+07,8.35002e+06,1.52806,Fail
1865,18447,6.4754e-06,7.32616e-17,25.205,0.0723789,0.01059,6.83465,1.07913e+06,18453,58.4798,1.67448e+07,61508,272.237,Pass
140,18548,6.18429e-16,1.11673e-16,1.71161,0.00994973,0.005542,1.79533,8055,4782,1.68444,1.07542e+06,636174,1.69045,Pass
734,15914,1.1102e-05,1.1501e-13,18.3854,0.0182994,0.010937,1.67316,57607,41572,1.38572,2.13208e+06,1.11814e+06,1.90681,Fail
1633,18880,3.81149e-06,8.49832e-14,17.6188,0.0427898,0.022393,1.91086,299669,150256,1.99439,2.44213e+07,8.36253e+06,2.92032,Pass
2741,18747,1.92189e-05,6.95262e-15,21.74,0.0223086,0.040657,0.548703,161183,113734,1.41719,1.40285e+07,7.56875e+06,1.85347,Fail
2744,18756,1.50898e-05,3.85671e-15,22.0875,0.0240637,0.027787,0.866006,144010,107820,1.33565,9.38494e+06,5.7183e+06,1.64121,Fail
830,19093,8.27634e-06,6.85095e-16,23.2149,0.0895188,0.064111,1.39631,852085,330539,2.57787,2.39323e+08,5.4125e+07,4.42167,Pass
418,18964,8.74495e-06,1.60138e-14,20.1183,0.0113967,0.009,1.2663,89159,51827,1.72032,5.7649e+06,2.2254e+06,2.5905,Pass
545,17279,2.01123e-05,6.04022e-14,19.6236,0.0480143,0.049835,0.963465,306722,181402,1.69084,6.23321e+07,2.12e+07,2.94019,Fail
2742,19476,1.63259e-05,2.0942e-15,22.7768,0.0230957,0.02851,0.810091,167195,117724,1.42023,1.50415e+07,7.85436e+06,1.91505,Fail
2745,19530,1.45184e-05,3.61351e-15,22.114,0.0206202,0.033204,0.621016,172227,117644,1.46397,1.24746e+07,6.78307e+06,1.83907,Fail
322,19996,5.69096e-07,5.55112e-17,23.0507,0.010072,0.007634,1.31936,19999,19996,1.00015,27497,27493,1.00015,Pass
244,17628,6.457e-06,6.3649e-16,23.0402,0.0480649,0.030689,1.56619,418386,184348,2.26954,5.60746e+07,1.46987e+07,3.81493,Pass
810,9201,7.3977e-06,2.78732e-16,24.0019,0.0122626,0.009621,1.27457,104231,68435,1.52307,6.46638e+06,2.83131e+06,2.28388,Pass
336,20187,5.50632e-06,2.70243e-12,14.5273,0.0508668,0.056185,0.905345,397122,281519,1.41064,3.88067e+07,2.02324e+07,1.91805,Pass
2696,19703,5.5059e-05,1.37658e-14,22.1095,0.0838916,0.048067,1.74531,659592,82106,8.03342,2.2791e+08,1.94722e+06,117.044,Fail
246,19119,8.01211e-06,9.93863e-16,22.8104,0.0285069,0.019062,1.49548,238544,125288,1.90397,2.32098e+07,8.55386e+06,2.71338,Pass
200,20833,4.63828e-11,2.02382e-12,3.13194,0.0315224,0.074062,0.425622,219995,403334,0.545441,1.74384e+07,4.65722e+07,0.374439,Pass
828,20841,5.96105e-06,2.39557e-16,23.9375,0.0236277,0.019902,1.1872,173434,117817,1.47206,7.42161e+06,3.77687e+06,1.96502,Pass
371,9702,1.48608e-05,1.16875e-10,11.7531,0.0129412,0.009796,1.32107,78360,23836,3.28746,6.19276e+06,423060,14.638,Fail
460,6001,5.59228e-06,1.3531e-15,22.1423,0.0109756,0.007296,1.50433,25339,17939,1.41251,515799,230008,2.24253,Pass
823,21118,1.22296e-05,3.56567e-15,21.9558,0.02378,0.019362,1.22818,144712,101336,1.42804,9.59639e+06,5.11613e+06,1.87571,Fail
1538,21817,5.45453e-05,3.62655e-14,21.1314,0.064494,0.038082,1.69356,483646,96834,4.99459,1.49495e+08,6.55237e+06,22.8154,Fail
22,21842,1.46405e-12,4.48808e-14,3.48495,0.0272205,0.027976,0.972995,77806,52912,1.47048,2.17658e+06,1.20219e+06,1.81051,Pass
65,15342,6.56749e-06,1.55976e-14,19.8583,0.00759621,0.00456,1.66584,38967,32178,1.21098,1.09877e+06,832522,1.31981,Pass
1200,22162,3.5376e-06,4.62775e-14,18.1521,0.0257506,0.021949,1.1732,91595,64545,1.41909,1.24203e+06,558255,2.22485,Pass
241,22316,5.3147e-06,7.01776e-16,22.7479,0.0612274,0.043263,1.41524,584836,294830,1.98364,7.83119e+07,2.83948e+07,2.75797,Pass
1539,20445,2.62542e-05,4.65044e-13,17.849,0.0459859,0.01823,2.52254,229278,51573,4.4457,3.27257e+07,1.6056e+06,20.3823,Fail
419,22460,1.01834e-05,3.55098e-15,21.7768,0.00997116,0.0067,1.48823,66619,40538,1.64337,2.32745e+06,964543,2.413,Fail
250,22134,1.30269e-12,5.51052e-14,3.16294,0.02442,0.057917,0.421638,82390,82650,0.996854,4.39768e+06,1.57717e+07,0.278834,Pass
243,19256,1.30229e-05,3.14046e-14,19.843,0.0240897,0.018926,1.27284,200717,125230,1.60279,3.14123e+07,1.56895e+07,2.00212,Fail
755,22711,7.2601e-13,1.21292e-14,4.09195,0.0301589,0.028311,1.06527,83116,57666,1.44133,2.88749e+06,1.18226e+06,2.44235,Pass
2412,23626,5.1512e-12,4.93179e-12,0.0435271,0.0452089,0.04268,1.05925,226506,160645,1.40998,1.13339e+07,5.31067e+06,2.13418,Pass
2746,23427,1.78221e-05,5.34265e-15,21.928,0.0284682,0.038217,0.744909,223408,143714,1.55453,1.86638e+07,8.40189e+06,2.22138,Fail
837,10931,8.82247e-06,4.09661e-15,21.4904,0.0180604,0.011248,1.60565,34574,25580,1.3516,359506,196060,1.83365,Pass
426,23575,7.39849e-06,2.55632e-16,24.0886,0.0267513,0.016786,1.59367,206743,127791,1.61782,1.2687e+07,4.82496e+06,2.62945,Pass
540,19848,7.55227e-06,2.8228e-17,26.3126,0.0173824,0.010561,1.6459,30804,23794,1.29461,89576,47963,1.86761,Pass
201,23896,1.12349e-11,7.50136e-13,2.70653,0.0404123,0.09141,0.442099,262618,442905,0.592944,2.13489e+07,5.03103e+07,0.424344,Pass
2731,24073,1.08986e-05,8.7183e-15,20.9465,0.216637,0.016692,12.9785,1.29537e+06,97544,13.2798,7.89009e+08,3.91306e+06,201.635,Fail
344,24270,2.09468e-05,2.48952e-12,15.9454,0.0153426,0.012804,1.19827,127718,90180,1.41626,1.61973e+07,8.9526e+06,1.80922,Fail
2747,24102,1.3541e-05,5.01969e-15,21.7156,0.0278173,0.069997,0.397407,229144,148027,1.54799,1.97066e+07,8.80133e+06,2.23905,Fail
213,23186,1.11804e-05,6.89801e-16,23.5088,0.014203,0.027875,0.509525,61561,72878,0.844713,3.06097e+06,5.7865e+06,0.528985,Fail
2411,24578,3.01875e-11,3.29292e-13,4.51824,0.0366607,0.048007,0.763653,226885,164351,1.38049,1.11875e+07,5.29873e+06,2.11136,Pass
2677,24579,9.6218e-06,2.44431e-15,22.0935,0.0540721,0.068319,0.791465,562711,107564,5.23141,8.77443e+07,3.76289e+06,23.3183,Pass
422,24369,9.66748e-06,1.60714e-14,20.215,0.0151604,0.010059,1.50715,113340,62425,1.81562,6.83456e+06,2.55482e+06,2.67516,Pass
120,25026,1.44715e-12,1.14653e-14,4.83803,0.0309432,0.07909,0.39124,157666,152764,1.03209,1.65777e+07,7.58289e+07,0.21862,Pass
2230,25031,6.37564e-06,1.52902e-15,22.1511,0.214785,0.067209,3.19578,1.29928e+06,581297,2.23514,8.40454e+08,1.73854e+07,48.3424,Pass
900,19039,2.24735e-05,3.92245e-14,20.1663,0.0386562,0.0366,1.05618,237301,145936,1.62606,3.1595e+07,1.16756e+07,2.70606,Fail
189,24002,1.06402e-05,2.59632e-13,17.5286,0.0455522,0.048504,0.939143,411073,297537,1.38159,3.67049e+07,1.98941e+07,1.84501,Fail
2563,25662,1.53837e-06,6.80739e-15,19.236,0.0223664,0.016368,1.36647,97572,58346,1.6723,1.77122e+06,661679,2.67686,Pass
2706,26261,8.30947e-06,3.981e-14,19.1565,0.227481,0.023956,9.49578,1.41624e+06,87262,16.2298,6.956e+08,1.988e+06,349.899,Pass
754,19924,2.702e-12,1.7264e-14,5.05313,0.0304165,0.030809,0.98726,68197,46195,1.47629,2.4726e+06,899781,2.748,Pass
2410,26556,4.89804e-11,1.05509e-12,3.83779,0.0549968,0.063398,0.867485,309898,211956,1.46209,2.19357e+07,9.52169e+06,2.30377,Pass
416,26839,4.66032e-05,1.05499e-15,24.5114,0.0135097,0.005282,2.55769,82444,36331,2.26925,8.98877e+06,1.65178e+06,5.44188,Fail
2678,27027,1.03778e-05,4.41502e-15,21.5779,0.0737801,0.041337,1.78484,696826,117036,5.95395,1.26159e+08,3.63928e+06,34.6659,Fail
2409,27444,1.80252e-10,3.85539e-13,6.14747,0.0432427,0.037694,1.1472,281928,203711,1.38396,1.67249e+07,7.89052e+06,2.11962,Pass
457,17363,1.10953e-05,3.99789e-15,21.744,0.0237344,0.019045,1.24623,119463,108744,1.09857,1.06509e+07,8.23844e+06,1.29283,Fail
456,386,3.6918e-06,5.29158e-17,24.9684,0.000674583,0.000828,0.814714,2731,528,5.17235,69796,1858,37.5651,Pass
917,26503,1.26096e-05,1.23915e-13,18.4381,0.0602231,0.050201,1.19964,386185,273157,1.41378,2.23551e+07,1.16738e+07,1.91499,Fail
1328,28690,0.000103538,1.22973e-15,25.1564,0.0122478,0.02881,0.425123,68999,38152,1.80853,5.71199e+06,2.21706e+06,2.57638,Fail
2732,28757,1.47945e-05,4.9734e-15,21.8134,0.437145,0.056415,7.74874,1.90901e+06,128143,14.8975,1.34853e+09,5.22176e+06,258.251,Fail
1541,28866,4.97647e-05,1.11605e-13,19.9156,0.0892769,0.02355,3.79095,604913,77588,7.79648,1.86663e+08,3.35826e+06,55.5833,Fail
2827,27415,2.16487e-05,2.52822e-16,25.1733,0.0317131,0.022789,1.3916,178541,79101,2.25713,1.05658e+07,2.01113e+06,5.25365,Fail
332,29600,2.58524e-06,2.00275e-13,16.3734,0.0594573,0.045313,1.31215,560951,264334,2.12213,5.6899e+07,1.75998e+07,3.23293,Pass
2656,29700,1.63809e-05,3.74093e-15,22.2,0.0198673,0.01687,1.17767,50509,35285,1.43146,472824,158889,2.97581,Fail
1547,30590,0.000132187,1.20683e-13,20.8143,0.0498835,0.025186,1.9806,282795,70187,4.02916,3.57083e+07,1.62154e+06,22.0212,Fail
2679,31043,9.96347e-06,5.81957e-15,21.261,0.086745,0.07608,1.14018,838826,135565,6.18763,1.4756e+08,4.31767e+06,34.1759,Pass
1542,31079,7.82256e-05,2.41838e-14,21.8972,0.0712281,0.020897,3.40853,591122,42607,13.8738,1.41997e+08,421918,336.552,Fail
1546,30927,8.31658e-05,8.53409e-14,20.6974,0.0838132,0.026439,3.17006,480710,65849,7.30019,1.0057e+08,1.29713e+06,77.5327,Fail
871,31680,3.54766e-12,3.01805e-13,2.46426,0.0473434,0.122055,0.387886,241121,356380,0.676584,1.08903e+07,1.69838e+07,0.641218,Pass
