id,nnzA,myErr,umfErr,logratio,myElaps,umfElaps,ratio,mynnz,umfnnz,ratio,myflop,umfflop,ratio
902,42204,1.74776e-12,5.64621e-14,3.43252,0.109473,0.095139,1.15066,1.54225e+06,455768,3.38385,4.50584e+08,7.3888e+07,6.0982,Pass
432,33656,5.07123e-11,1.80116e-12,3.33774,0.0160961,0.011534,1.39553,244851,126063,1.94229,1.7806e+07,4.77955e+06,3.72546,Pass
1243,53486,4.57764e-05,9.08601e-13,17.7351,0.0623974,0.056599,1.10245,810925,598550,1.35482,1.08953e+08,6.0634e+07,1.7969,Fail
2245,95,1.92069e-13,1.94289e-16,6.89626,9.7584e-05,0.000146,0.668384,154,128,1.20312,652,451,1.44568,Pass
1551,54471,1.98167e-10,1.06606e-13,7.52773,0.813654,0.036388,22.3605,5.051e+06,71449,70.6938,7.81637e+09,686071,11392.9,Pass
438,30274,0.00502751,2.63928e-16,30.578,0.0110242,0.005019,2.19649,161262,64276,2.5089,1.28293e+07,2.49099e+06,5.15028,Fail
2818,51886,6.18004e-10,9.96797e-14,8.73229,0.0231659,0.010182,2.27518,356256,139467,2.55441,3.48155e+07,6.33182e+06,5.49851,Pass
1552,56123,7.32868e-08,2.36961e-13,12.642,0.311249,0.026009,11.967,2.69073e+06,103039,26.1137,1.34922e+09,2.0266e+06,665.755,Pass
77,56126,1.61512e-09,2.02717e-15,13.5883,0.0145659,0.006509,2.23781,162916,110274,1.47737,1.07753e+07,5.18735e+06,2.07722,Pass
580,50523,9.70871e-09,2.91971e-12,8.10929,0.126682,0.135206,0.936955,1.71926e+06,1.45247e+06,1.18368,5.85747e+08,6.058e+08,0.966898,Pass
454,22317,2.70864e-11,1.60184e-14,7.43305,0.0169183,0.012495,1.35401,87553,70499,1.2419,1.52443e+06,1.05412e+06,1.44617,Pass
840,53668,6.0868e-13,5.44215e-15,4.71712,0.0127197,0.008841,1.43872,191034,108941,1.75355,6.06158e+06,2.01026e+06,3.01532,Pass
2425,57162,2.42045e-09,2.13945e-11,4.72858,0.0795531,0.067379,1.18068,974065,683044,1.42606,1.13824e+08,6.21743e+07,1.83072,Pass
2424,57978,1.28251e-10,1.44211e-12,4.48788,0.067297,0.054903,1.22574,1.01229e+06,684144,1.47964,1.14074e+08,5.00714e+07,2.27823,Pass
465,26647,2.00891e-08,8.97524e-15,14.6212,0.0131759,0.007048,1.86945,117493,48537,2.42069,4.58132e+06,1.00016e+06,4.5806,Pass
2415,60086,4.53578e-11,1.13793e-12,3.68537,0.0724928,0.063479,1.142,698097,481439,1.45002,8.62397e+07,4.50261e+07,1.91533,Pass
2414,60760,3.99043e-11,2.17097e-13,5.2139,0.0735542,0.058328,1.26104,1.11637e+06,603268,1.85053,1.34905e+08,5.56457e+07,2.42435,Pass
1245,61046,1.61205e-10,2.83673e-12,4.04003,0.12267,0.149432,0.820909,2.2863e+06,2.14732e+06,1.06472,5.57882e+08,5.64066e+08,0.989036,Pass
1868,61166,1.44299e-11,5.57309e-16,10.1617,0.105531,0.021826,4.8351,2.18748e+06,124484,17.5724,7.32362e+08,3.75447e+06,195.064,Pass
756,50904,2.30822e-12,3.63459e-14,4.15115,0.0392601,0.035026,1.12088,223369,157368,1.41941,8.87539e+06,2.56852e+06,3.45546,Pass
841,59546,7.66173e-14,4.20579e-15,2.90236,0.0132691,0.009167,1.44749,230897,127716,1.80789,1.13656e+07,3.66431e+06,3.1017,Pass
2354,54517,1.05072e-09,5.8639e-11,2.88583,0.0241205,0.023663,1.01933,121579,89420,1.35964,1.5209e+06,681156,2.23282,Pass
1554,62891,7.57796e-08,4.10789e-14,14.4278,0.146923,0.02996,4.90397,1.57509e+06,282066,5.58411,5.75017e+08,2.16448e+07,26.5661,Pass
2850,63024,2.57202e-12,4.54103e-14,4.03671,0.0142082,0.008879,1.6002,262634,86357,3.04126,6.31045e+07,5.49234e+06,11.4895,Pass
919,60487,2.8872e-08,2.15497e-13,11.8054,0.0966309,0.068877,1.40295,1.39179e+06,923800,1.50659,1.47885e+08,6.96263e+07,2.12399,Pass
453,54254,5.94303e-16,3.94961e-15,-1.89398,0.0494491,0.032169,1.53717,276633,161145,1.71667,5.71508e+06,2.17867e+06,2.6232,Pass
1191,63420,5.16107e-16,7.26822e-17,1.96022,0.0571182,0.368229,0.155116,51424,801127,0.0641896,4.52098e+07,3.94703e+08,0.114541,Pass
1553,64333,8.85531e-11,3.45129e-14,7.85003,0.122937,0.024807,4.95574,1.36094e+06,154535,8.80668,3.54002e+08,4.26519e+06,82.9979,Pass
1549,65693,3.23035e-11,2.92399e-13,4.70481,0.710884,0.01631,43.5858,5.93763e+06,79212,74.9587,9.94086e+09,1.19894e+06,8291.35,Pass
1555,65941,3.74753e-10,5.97309e-14,8.74417,0.230199,0.040601,5.66979,2.65889e+06,159337,16.6872,1.04171e+09,9.01343e+06,115.573,Pass
377,66528,4.80887e-15,2.49183e-16,2.96003,0.0224144,0.022019,1.01796,326469,293958,1.1106,1.80754e+07,1.68765e+07,1.07104,Pass
412,65875,2.06683e-06,1.51766e-13,16.4269,0.0525605,0.034486,1.52411,949834,564699,1.68202,1.78416e+08,5.96292e+07,2.99208,Pass
1432,67391,5.02661e-06,4.54476e-16,23.1266,0.0605053,0.044811,1.35023,1.01475e+06,580843,1.74702,9.78959e+07,3.82861e+07,2.55696,Pass
1212,53479,2.1178e-10,1.04615e-16,14.5208,0.0214134,0.016548,1.29402,89255,67499,1.32232,441084,209747,2.10293,Pass
433,65940,2.66691e-09,3.65473e-16,15.803,0.022793,0.013693,1.66457,394770,190930,2.06762,4.94857e+07,1.34297e+07,3.6848,Pass
1622,68019,1.03282e-12,2.8201e-11,-3.30707,0.0154933,0.012888,1.20215,137810,135365,1.01806,2.66965e+06,2.78322e+06,0.959194,Pass
417,67830,3.34639e-13,1.00595e-13,1.20195,0.0295755,0.015923,1.85741,478873,266590,1.79629,5.30521e+07,1.80644e+07,2.93684,Pass
2430,71192,2.94711e-12,3.56927e-14,4.41363,0.0763999,0.059623,1.28138,387331,361534,1.07135,8.00134e+07,4.81433e+07,1.66198,Pass
2197,71760,1.05979e-10,1.02946e-12,4.63421,0.648293,0.502026,1.29135,5.43039e+06,4.66978e+06,1.16288,8.03042e+09,5.56737e+09,1.44241,Pass
414,47754,0.00086371,1.03153e-15,27.4535,0.0271328,0.017401,1.55927,431887,237664,1.81722,4.40118e+07,1.48381e+07,2.96613,Fail
2279,284,1.33921e-15,3.64394e-17,3.60419,0.000220575,0.00029,0.760603,841,340,2.47353,7515,519,14.4798,Pass
1242,73963,0.136644,4.49444e-13,26.4404,0.645902,0.937838,0.688714,8.44383e+06,8.52396e+06,0.9906,6.36329e+09,8.3687e+09,0.760367,Fail
1556,74676,4.98711e-10,3.75531e-13,7.19144,0.185298,0.045091,4.10942,2.16067e+06,313104,6.9008,1.29873e+09,3.84555e+07,33.7724,Pass
2699,69984,0.00012207,1.11759e-13,20.8115,2.89004,0.100304,28.8128,1.01416e+07,545433,18.5937,1.49313e+10,2.54612e+07,586.434,Fail
389,71278,1.70161e-10,8.12837e-14,7.64655,0.0324045,0.015054,2.15255,519897,215069,2.41735,5.47521e+07,1.13888e+07,4.80756,Pass
1557,77689,1.98088e-10,9.01082e-14,7.69546,0.17113,0.032504,5.26489,2.66489e+06,195397,13.6384,1.35509e+09,5.84525e+06,231.828,Pass
425,77031,8.28814e-11,1.32766e-13,6.43658,0.0306779,0.014906,2.05809,441520,229711,1.92207,3.70154e+07,1.17125e+07,3.16033,Pass
1550,78571,3.36903e-09,1.33675e-13,10.1347,0.11239,0.025886,4.34173,1.4267e+06,221373,6.44478,5.42911e+08,1.4321e+07,37.9101,Pass
410,79077,1.99621e-10,7.22276e-13,5.62177,0.0507357,0.026029,1.9492,968480,408746,2.36939,1.40317e+08,2.34113e+07,5.99356,Pass
2707,80645,2.66785e-10,1.03774e-13,7.85198,6.42745,0.031175,206.173,1.26455e+07,268431,47.1091,2.00634e+10,6.15167e+06,3261.45,Pass
