id	myErr	umfErr	ratio	myElaps	umfElaps	ratio	mynnz	umfnnz	ratio	myflop	umfflop	ratio
2676	3.89868e-06	7.41432e-15	5.25831e+08	2.3965	0.054403	44.0508	495018	82562	5.99571	1.27068e+08	2.6371e+06	48.1846	Pass
1446	9.44134e-13	2.05619e-16	4591.67	0.429075	0.010186	42.124	38725	18278	2.11867	1.43052e+06	302850	4.72353	Pass
2740	1.39054e-10	2.68022e-15	51881.6	0.834103	0.028877	28.8847	172549	121603	1.41895	1.5581e+07	8.71417e+06	1.78801	Pass
1865	2.70298e-13	7.32616e-17	3689.49	9.7736	0.010859	900.046	1.07446e+06	18453	58.227	5.83146e+06	61504	94.8144	Pass
140	3.8216e-15	1.36609e-16	27.9746	0.194313	0.00583	33.3298	8324	4785	1.7396	39461	32269	1.22288	Pass
734	5.94002e-13	1.56754e-14	37.8938	0.410859	0.011162	36.8087	70332	45543	1.5443	2.75676e+06	1.21228e+06	2.27403	Pass
1633	8.88481e-09	8.49832e-14	104548	1.26574	0.024288	52.1137	293770	150256	1.95513	2.29412e+07	8.36253e+06	2.74334	Pass
2741	2.75672e-11	1.60464e-15	17179.7	0.929108	0.025513	36.417	179407	117453	1.52748	1.66375e+07	8.17094e+06	2.03618	Pass
2744	4.09467e-11	6.98704e-15	5860.38	0.850151	0.055776	15.2422	162551	111759	1.45448	1.16249e+07	6.14668e+06	1.89125	Pass
830	3.39379e-10	6.85095e-16	495374	3.45527	0.044587	77.4951	854957	330539	2.58655	2.38497e+08	5.4125e+07	4.40641	Pass
418	2.15875e-14	1.60138e-14	1.34805	0.467881	0.007114	65.769	90111	51827	1.73869	5.8352e+06	2.2254e+06	2.62209	Pass
545	7.34081e-08	8.05428e-14	911417	2.01989	0.049497	40.8084	390236	183458	2.12711	8.25196e+07	2.05633e+07	4.01296	Pass
2742	9.66917e-11	1.05746e-14	9143.79	0.911083	0.026096	34.9127	187853	122522	1.53322	1.7946e+07	8.8352e+06	2.0312	Pass
2745	2.88682e-11	1.57806e-15	18293.5	0.908779	0.053437	17.0065	188190	120256	1.56491	1.46281e+07	7.06139e+06	2.07157	Pass
