id	myErr	matlabErr	ratio	myElaps	matlabElaps	ratio	mynnz	matlabnnz	ratio	myflop	matlabflop	ratio
2348	2.383e-11	4.19456e-15	5681.18	0.873115	0.027325	31.953	82696	67190	1.23078	706125	432046	1.63437	Pass
1427	2.37135e-16	2.20188e-16	1.07697	0.712715	0.029513	24.1492	50001	50000	1.00002	45000	45000	1	Pass
547	5.86305e-07	5.41038e-13	1.08367e+06	5.28712	0.131028	40.351	1.12669e+06	690071	1.63272	3.21567e+08	1.39357e+08	2.3075	Pass
1891	4.79412e-06	2.86081e-13	1.67579e+07	10.359	0.2576	40.2136	2.13708e+06	1.49959e+06	1.42511	6.91722e+08	4.07591e+08	1.6971	Pass
865	8.34327e-11	3.99205e-13	208.997	2.78336	0.107636	25.8591	449016	500359	0.897388	3.54617e+07	2.78914e+07	1.27142	Pass
466	2.36469e-11	4.94396e-17	478298	5.26687	0.014888	353.766	41493	36538	1.13561	191972	137232	1.39889	Pass
1190	0	5.86011e-17	0	1.59581	0.53977	2.95647	38087	47605	0.800063	53114	66986	0.792912	Pass
372	1.35754e-15	1.21743e-13	0.0111508	15.5827	0.034443	452.419	287256	70398	4.08046	2.49049e+07	318035	78.3088	Pass
2340	2.43975e-11	1.4898e-14	1637.63	1.02475	0.029147	35.1579	89891	71246	1.2617	729662	425250	1.71584	Pass
421	7.97712e-11	1.05828e-14	7537.82	1.24986	0.038659	32.3304	279973	156797	1.78558	1.80273e+07	6.1039e+06	2.9534	Pass
2346	1.76051e-11	9.65684e-15	1823.07	1.03406	0.030257	34.176	89610	70485	1.27133	722424	408441	1.76874	Pass
2341	1.79644e-11	8.96376e-15	2004.12	1.03404	0.031726	32.5928	90067	71428	1.26095	729670	425711	1.714	Pass
1197	1.52415e-09	6.7394e-16	2.26155e+06	231.721	0.015942	14535.3	5.20423e+07	51258	1015.3	2.50124e+11	67408	3.7106e+06	Pass
2353	1.46584e-11	1.89163e-14	774.911	1.07363	0.040018	26.8287	89859	75915	1.18368	737506	491698	1.49992	Pass
1250	1.36559e-09	6.2869e-13	2172.12	4.3401	0.079307	54.7254	971911	625738	1.55322	1.81512e+08	7.91636e+07	2.29288	Pass
437	1.99908e-10	1.23734e-14	16156.3	1.08863	0.017191	63.3255	268044	139646	1.91945	2.0395e+07	6.16844e+06	3.30635	Pass
1544	7.13049e-10	3.23389e-14	22049.3	4.96146	0.055162	89.9435	977176	239457	4.0808	3.40354e+08	2.66084e+07	12.7912	Pass
1612	7.876e-08	4.35521e-15	1.80841e+07	3.22954	0.061572	52.4515	730654	399242	1.8301	6.59619e+07	2.31155e+07	2.85358	Pass
2564	3.3358e-06	4.18383e-12	797307	1.00824	0.027495	36.6698	192094	122534	1.56768	3.25463e+06	1.46669e+06	2.21903	Pass
2104	1.1167e-10	3.49912e-12	31.9137	70.301	2.91914	24.0828	1.41307e+07	1.62873e+07	0.867592	2.64584e+10	3.42562e+10	0.77237	Pass
2698	0.00390625	6.78347e-14	5.75848e+10	14.2613	0.138817	102.734	2.42564e+06	445923	5.43959	9.19998e+08	2.77557e+07	33.1463	Fail
902	2.20208e-12	5.46449e-15	402.979	64.3376	0.174541	368.61	4.25327e+06	466636	9.11474	2.54477e+09	7.34229e+07	34.6592	Pass
432	3.00398e-10	4.50512e-13	666.793	1.41004	0.030674	45.9686	331132	215181	1.53885	2.10885e+07	9.57193e+06	2.20316	Pass
1243	4.57764e-05	6.1916e-13	7.3933e+07	3.88079	0.117971	32.8962	750505	599839	1.25118	8.97931e+07	6.00527e+07	1.49524	Fail
2245	2.87784e-13	7.5977e-17	3787.77	1.36238	0.023986	56.799	72091	57726	1.24885	268655	94134	2.85396	Pass
