id,nnzA,myErr,umfErr,logratio,myElaps,umfElaps,ratio,mynnz,umfnnz,ratio,myflop,umfflop,ratio
1413,328167,8.59392e-07,6.71001e-15,18.6681,2.39063,0.553477,4.31929,1.26568e+07,1.94222e+06,6.51664,5.28178e+09,2.8972e+08,18.2307,Pass
448,307258,7.67737e-07,1.94251e-12,12.8872,0.543713,0.463271,1.17364,4.48135e+06,2.69985e+06,1.65985,1.49988e+09,5.42559e+08,2.76446,Pass
283,326852,1.06135e-09,6.64425e-14,9.67872,0.602322,0.688583,0.874727,4.61629e+06,3.62936e+06,1.27193,2.11195e+09,1.95287e+09,1.08146,Pass
590,308123,2.69969e-07,1.91866e-11,9.55185,1.5932,5.61141,0.283921,1.47045e+07,2.94577e+07,0.499173,6.93539e+09,4.38606e+10,0.158123,Pass
379,301700,2.62483,1.24006e-15,35.2886,3.71928,0.807336,4.60686,1.86759e+07,4.30109e+06,4.34213,2.44749e+10,2.19411e+09,11.1548,Fail
1292,347222,1.21201e-10,1.47538e-14,9.01371,516.984,1.38792,372.489,8.27857e+07,692704,119.511,2.02162e+11,3.32073e+06,60878.8,Pass
1304,280000,5.8338e-06,2.22385e-11,12.4774,0.827496,1.65652,0.499539,8.71906e+06,8.8502e+06,0.985182,4.3148e+09,8.81119e+09,0.489695,Pass
927,352762,3.58271e-09,4.79414e-16,15.8268,1.80909,1.17739,1.53652,1.58391e+07,8.35171e+06,1.89651,1.30695e+10,6.28399e+09,2.07981,Pass
1291,355034,2.53761e-10,2.08765e-14,9.40552,728.624,1.5501,470.05,5.18985e+07,721414,71.9399,1.31087e+11,3.63093e+06,36102.9,Pass
1578,360228,8.11725e-09,2.98854e-13,10.2095,3.19448,0.656053,4.86924,1.69216e+07,1.99551e+06,8.47986,1.66719e+10,4.16945e+08,39.9858,Pass
1572,354975,6.51558e-09,4.25382e-14,11.9393,10.4204,0.39145,26.62,3.72898e+07,761291,48.9823,4.6448e+10,6.80505e+07,682.552,Pass
541,375558,1.00222e-11,2.23435e-16,10.7112,0.417567,0.404482,1.03235,1.88737e+06,982513,1.92096,5.06908e+07,1.22043e+07,4.15353,Pass
842,378927,1.00458,1.00708e-15,34.5363,0.362554,0.166447,2.17819,3.30092e+06,1.53699e+06,2.14765,6.05794e+08,1.61419e+08,3.75293,Fail
983,370763,1.43519e-07,7.89785e-14,14.4128,9.47766,11.5699,0.819163,5.17372e+07,3.8381e+07,1.34799,6.25756e+10,5.6138e+10,1.11468,Pass
1574,380224,4.89632e-09,8.12163e-13,8.70429,2.7912,0.649892,4.29487,1.82826e+07,1.55729e+06,11.74,1.13012e+10,2.13202e+08,53.0071,Pass
